id,Taste,Canonical SMILES,Canonicalized Taste Intermediary,Canonicalized Taste,Canonicalized SMILES,Source,Original Labels
PMTDB00843,bitter (insufficient evidence),CC12CCC(C(C1CCC3(C2CC(O3)C4=CCOC4=O)C)(C)CO)O,bitter,bitter,CC12CCC3C(C)(CO)C(O)CCC3(C)C1CC(C1=CCOC1=O)O2,phytocompounds_db,bitter (insufficient evidence)
PMTDB00844,pungent (tingling);,CCC=CCC=CCCC=CC=CC(=O)NCC(C)(C)O,undefined,undefined,CCC=CCC=CCCC=CC=CC(=O)NCC(C)(C)O,phytocompounds_db,pungent (tingling);
PMTDB00845,sweet,CC(C)COC(=O)C=CC1=CC=CC=C1,sweet,sweet,CC(C)COC(=O)C=Cc1ccccc1,phytocompounds_db,sweet
PMTDB00846,pungent,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,undefined,undefined,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,phytocompounds_db,pungent
PMTDB00847,bitter,CC12CCC3C(=O)OC(CC3(C1C4C=CC2(C(=O)O4)O)C)C5=COC=C5,bitter,bitter,CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2C2C=CC1(O)C(=O)O2,phytocompounds_db,bitter
PMTDB00848,pungent,CC1(CCCC2(C1CCC3(C2CC=C(C3C=O)C=O)C)C)C,undefined,undefined,CC1(C)CCCC2(C)C1CCC1(C)C(C=O)C(C=O)=CCC12,phytocompounds_db,pungent
PMTDB00849,bitter,CC(=O)OC1CC(C2(C3CCC4C(C3(C(CC2C1(C)C)O)C(=O)C4=C)O)C)O,bitter,bitter,C=C1C(=O)C23C(O)CC4C(C)(C)C(OC(C)=O)CC(O)C4(C)C2CCC1C3O,phytocompounds_db,bitter
PMTDB00850,bitter,CC(=O)OCC12C(CCC(C)(C)C1C=O)OC(=O)C13CC(CC(O)C21)C(=C)C3=O,bitter,bitter,C=C1C(=O)C23CC1CC(O)C2C1(COC(C)=O)C(CCC(C)(C)C1C=O)OC3=O,phytocompounds_db,bitter
PMTDB00851,pungent (insufficient evidence),CC(C)C=CC(=O)C1=COC=C1,undefined,undefined,CC(C)C=CC(=O)c1ccoc1,phytocompounds_db,pungent (insufficient evidence)
PMTDB00852,"pungent (burning), sweet",CC=CC1=CC(=C(C=C1)O)OC,sweet,sweet,CC=Cc1ccc(O)c(OC)c1,phytocompounds_db,"pungent (burning), sweet"
PMTDB00853,bitter,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)O,bitter,bitter,COc1cc2ccc(=O)oc2c(OC)c1O,phytocompounds_db,bitter
PMTDB00854,bitter,CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,bitter,bitter,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)CC(C)C)C(=O)C1CC=C(C)C,phytocompounds_db,bitter
PMTDB00855,bitter,CC(C)CC(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,bitter,bitter,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)CC(C)C)C(=O)C1CC=C(C)C,phytocompounds_db,bitter
PMTDB00856,pungent,CC1(CC2C=C(C3(CC3(C2C1)C)C=O)C=O)C,undefined,undefined,CC1(C)CC2C=C(C=O)C3(C=O)CC3(C)C2C1,phytocompounds_db,pungent
PMTDB00857,bitter,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,bitter,bitter,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,phytocompounds_db,bitter
